BRAND 2021,RETAIL 2021
TOYOTA,290499
DAIHATSU,151107
MITSUBISHI MOTORS,104407
HONDA,91393
SUZUKI,89596
MITSUBISHI FUSO,34375
ISUZU,27278
WULING,2392
HINO,19793
NISSAN,6185
MAZDA,3514
DFSK,2933
HYUNDAI - HMID,2875
K I A,2838
B M W,2433
MERCEDES-BENZ PC,2193
MERCEDES-BENZ CV,1904
UD TRUCKS,1397
MORRIS GARAGE,1101
LEXUS,1
MINI,669
SCANIA,541
VOLKSWAGEN,380
PEUGEOT,265
TATA,264
HYUNDAI - HIM,210
FAW,174
RENAULT,46
AUDI,38
DATSUN,20
INFINITI,0
HONGYAN,0
CHEVROLET,0
MAN TRUCK,0